x,y
540.38,371.77
536.71,374.33
537.98,372.78
529.11,380.15
538.8,372.65
535.54,375.08
531.85,378.33
526.34,382.93
542.55,370.53
547.96,367
546.54,368.18
551.77,364.51
538.07,374.12
537.88,374.6
541.78,372.25
546.15,368.64
519.96,388.23
282.94,-1987.5
300.02,2515.27
324.18,1121.25
497.92,330.5
575.63,281.78
569.54,285.68
579.55,280.52
609.87,267.26
621.23,257.4
633.26,253.78
588.04,271.32
606.43,263.55
612.17,261.95
607.82,263.61
633.48,255.43
582.21,274.99
568.97,281.39
598.86,268.44
604.78,265.52
599.16,267.86
620.74,259.92
612.63,262.43
611.02,262.88
642.52,251.08
649.58,249.52
663.2,245.27
660.55,246.2
629.47,255.77
629.47,255.77
642.11,251.9
609.91,263.44
641.03,252.11
674.16,242.15
673.21,243.31
657.19,247.81
641.82,251.8
599.62,266.63
605.27,263.98
628.27,256.38
650.38,249.27
644.82,250.77
630.03,256.07
640.34,252.88
677.46,241.49
675.06,242.81
670.43,243.39
665.81,244.56
641.63,252.4
607.69,263.77
652.33,249.44
645.53,250.71
641.35,252.47
621.24,259.05
617.31,260.19
597.77,267.56
602.78,265.27
609.83,262.75
599.61,267.33
605.05,265.57
589.96,272.1
602.81,266.73
614.2,262.4
638.48,254.07
617.1,261.73
598.4,269.38
637.91,254.73
628.72,257.16
489.54,350.98
702.2,256.6
760.88,242.33
734.52,249.41
729.06,250.94
721.38,253.43
614.17,297.87
774.76,242.07
696.08,263.25
796.73,237.19
774.03,241.83
773.58,241.9
739.12,251
807.42,235.56
742.56,250.71
692.57,267.32
721.16,258.05
784.93,242.08
836.27,231.97
848.44,229.46
878.41,225.13
757.47,248.83
773.59,244.7
811.15,237.09
796.9,240.63
776.6,244.17
810.44,236.75
802.42,238.71
778.51,243.17
776.01,244
724.35,257.66
748,250.92
693.97,267.17
719.48,259.09
719.65,258.5
751.01,250
732.99,254.81
684.26,268.97
686.37,269.32
691.17,266.73
717.79,257.97
703.27,262.53
766.69,245.49
751.49,249.24
742.2,251.28
703.89,262.99
702.87,263.09
715.01,259.18
701.06,263.2
717.72,258.66
737.18,252.97
692.73,267.3
769.9,244.74
675.41,273.57
704.02,263.39
755.07,248.5
726.75,256.2
685.14,268.59
709.91,260.68
670.77,273.98
691.94,266.1
655.08,280.03
711.31,260.54
713.45,259.53
670.95,273.64
689.54,266.62
732.38,254.02
849.69,228.87
714.43,258.74
638.91,287.55
634.57,289.73
642.35,285.85
641.01,286.9
667.88,276.2
666.3,276.76
656.13,281.24
776.53,244.1
685.11,270.06
701.4,264.61
702.91,264.06
721.21,257.69
657.44,279.78
655.08,281.67
418.78,758.33
84.67,-41.25
85.53,-41.81
85.99,-42.16
-71.96,22.6
-625,86.91
-68.02,21.52
57.99,-25.81
-55.72,18.16
-19.62,7.01
-197.33,48.22
-55.22,18.04
-79.76,24.58
-194.81,47.86
-128.27,35.77
-275.42,59.15
-174.66,44.46
-369.54,69.1
-387,70.79
-242.8,54.79
-186.41,46.15
-132.97,36.56
-82.07,25.13
-28.43,9.89
115.16,-62.87
79.85,-38.33
